id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
81446,True,Tehran,Tuesday 05AM,"با سلام گوشی در حد بدون نقطه ای خط و خش عین اکبند اندروید ۶ حافظه ۳۲ هندسفری پلمپ با یک عدد قاب iface و شارژر وایرلس اصل سامسونگ که اونم فقط از جعبه باز کردم برا کنجکاوی استفاده نشده 
معاوضه ندارم فقط فروش 
لطفا اس ندید فقط خریدار زنگ بزنه تخفیف فقط پای معامله پشت تلفن تخفیف نداره سوال نپرسید",4,NA,mobile,1350000,سامسونگ اس ۶ دوسیم گلد ۳۲ + شارژر وایرلس,NA,NA
81490,False,Karaj,Monday 02PM,دو سیم عالی....درحد...,2,NA,mobile,220000,سونی مدل mبسیار تمیز,NA,NA
81552,False,Karaj,Friday 08PM,گوشی کاملا سالم و در حده اکبند میباشد بدون کوچتربن خط و خش.یک ماه کارکرد.دوربین 13 و 8 اندروید6.1.دوسیم 4g.یاحق,2,NA,mobile,-1,ال جی استایلوس 2 دوسیم کارت 4g,NA,NA
81563,True,Tehran,Monday 01PM,گوشی فوق از هر لحاظ کاملا سالم به شرط اخیرا آپدیت شده به اندروید 6 بدون کوچکترین خط در حد آک هیچ گونه خط و زدگی پیدا نخواهید کرد لطفا خریدار واقعی تماس بگیرد(((((((( پیامک جواب داده نمیشود))))))),3,NA,mobile,450000,هواوی p8 lite,NA,NA
81590,True,Kermanshah,Monday 05AM,گوشی نوکیا دوسیمکارت و رم خوره سالم با باطری قوی گوشی دست خودم بوده الان ازش استفاده نمیکنم فقط شارژر داره,3,NA,mobile,65000,گوشی نوکیا107,NA,NA
81628,False,Isfahan,Thursday 11AM,"سالم بدون خط وخش دوربین 5 با فلش و دوربین جلو.4 اینچ
چند ماه کار در حد نو.",1,NA,web,175000,گوشی هواوی y360 دو سیم کارت,NA,NA
81656,True,Ahvaz,Wednesday 10AM,"گوشی تمیز روت شده ورژن بالا
زیر قیمت بازار زدم
فقط پیام لطفا",0,NA,mobile,510000,گوشی موبایل هواوی پی p7 در حد اک.سوسنگرد,NA,NA
81838,False,Qom,Wednesday 03AM,"هنذفریش رو گم کردم
شارژرش سالمه
ی بامپره ٨٠ تومنی هم روش میدم",3,NA,web,2350000,آیفون 6s 64 گیگ کارکرده تمیز,NA,NA
81883,True,Shiraz,Wednesday 02AM,بسیار نو و سالم بدون هیچ مشکلی بدون خطو خش دو سیمکارته کیفیت دوربین عالی قیمت مناسب با کارایی موبایل های گران,2,NA,mobile,190000,گوشی هواوی y5 نو,NA,NA
82183,False,Tehran,Sunday 10AM,"رنگ Gray
بدون خط و خش
سالم",3,NA,web,1750000,ایفون$NUMگیگ ١ سال کار کرده,NA,NA
82185,False,Tabriz,Monday 04AM,فروش گلکسی فیت(s5670) مشکی,0,NA,mobile,300000,فروش گلکسی فیت,NA,NA
82255,True,Mashhad,Friday 03PM,باسلام یک عدد گوشی نوکیا 110 ازمدل های اصلی هندیش دوسیم کارت مئموری خور دوربین دار. به همراه کارتون. شارژر هندزفری ویک مئموری تقدیم میشود گوشی فوق از هرلحاظی سالم وتمیز میباشد. به خریدار واقعی یک تخیف جزئی داده میشود.باتشکر,2,NA,mobile,75000,گوشی نوکیا 110,NA,NA
82443,True,Mashhad,Thursday 07AM,گوشی لنو درحد تمیز سالم و مرتب فقط خریدارواقعی,2,NA,mobile,220000,گوشی لنوو,NA,NA
82524,False,Tabriz,Saturday 08AM,درحدصفربدونه جعبه ولی تضمینی,2,NA,mobile,300000,ساسونگ اس3,NA,NA
82793,False,Tehran,Monday 04AM,تمییزوعالی باطری تا یک هفته به شرط سالم صددرصد،اصلی اصلی وفابریک حتی باطری، بعیدمیدونم بهتراز این گوشی پیداکنید .عالی برای گوشی دوم یا کلگسیونی.,3,NA,mobile,80000,نوکیا ۶۲۶۰ تاشو,NA,NA
83090,False,Mashhad,Thursday 06AM,"سلام
نوت 2 رنگ مشکی آبی.باتری سالم.رویت خوب
لوازم تکمیل.فقط اهل معامله پیام بدن.الاف و بیکار سایلنت.ممنون",0,NA,mobile,500000,نوت 2 تمیییز.فروش معاوضه,NA,NA
83187,False,Tehran,Tuesday 09PM,در حد نو، خرید سه ماه پیش، به همراه جعبه,2,NA,mobile,1800000,"iPhone 6s 16g, Rose Gold",NA,NA
